Priyanka Gandhi,Sushma Swaraj,Atishi Marlena,K. P. Munusamy,Pradeep Maharathy,VIRENDAR RANA,,RAMVILAS PASWAN,MADHAB RAJBANGSHI,PARESH BAISHYA,Ram Achal Rajbhar,A.B. Bardhan,T. R. Baalu,NCP leader,Abdul Bari Siddiqui,Simranjit Singh Mann,Ravindra Waikar,Chandrabhan Prasad,Nara Lokesh,Sudip Bandyopadhyay,Talasani Srinivas Yadav,Jogi Ramesh,,FAROOQ ABDULLAH,,ANJANI SOREN,,,,,,DR. ALOK KUMAR SUMAN,SAMARESH SINGH,,,,,ESWARAN. V. P,,,,,,,,
Ahmed Patel,Nitin Gadkari,Raghav Chadha,K. A. Sengottaiyan,Pinaki Mishra,MAHENDER SINGH CHAUHAN,,RAM CHANDRA PASWAN,JOSEPH TOPPO,DR. ADITYA LANGTHASA,S. C. Mishra,Brinda Karat,A. Raja,NCP leader Sharad Pawar,Raghuvansh Prasad Singh,Manjit Singh GK,Diwakar Raote,Chaudhary Munawwar Hasan,Nandamuri Balakrishna,Saugata Roy,Tummala Nageswara Rao,Kakani Govardhan Reddy,,MIRZA MEHBOOB BEG,,SANTHAPAN HASDAK,,,,,,Kavita Singh,AMITABH CHOUDHARY,,,,,SUDHISH L K,,,,,,,,
Kapil Sibal,Yogi Adityanath,Saurabh Bharadwaj,C. Ve. Shanmugam,Baijayant Panda,DR. KUSUM SHERWAL,,CHOUDHARY MAHBOOB ALI KAISER,MRIDULA BARKAKOTY,BIJOY KUMAR TIRU,Lalji Verma,D. Pandian,Duraimurugan,Praful Patel,Shivanand Tiwari,Jagdev Singh Talwandi,Ramdas Kadam,Choudhari Lekhraj Singh,Nandamuri Harikrishna,Mahua Moitra,Kadiyam Srihari,Kodali Sri Venkateswara Rao,,,,Naran Tudu,,,,,,AJAY KUMAR MANDAL,AJAY KUMAR,,,,,VEL S.K,,,,,,,,
P. Chidambaram,Yogi,Alka Lamba,R. Vaithilingam,A. U. Singh Deo,BALBIR SINGH SAINI,,VEENA DEVI,DR. ARUN KUMAR SARMA,NASIR AHMED,Jagdish Singh Rana,A. B. Bardhan,Udhayanidhi Stalin,Sharad Pawar,Manoj Jha,Prem Singh Chandumajra,Chandrakant Khaire,Deepak Singhal,Nara Bhuvaneswari,Suvendu Adhikari,P. Srinivas Reddy,A Ramakrishna Reddy,,,,JOSEPH KISKU,,,,,,GIRIDHARI YADAV,DASHRATH GAGRAI,,,,,N.DINESHKUMAR,,,,,,,,
P Chidambaram,Keshav Prasad Maurya,Somnath Bharti,R. B. Udhayakumar,Debi Prasad Mishra,CHARANJEET SINGH RORI,,SATYA NAND SHARMA,PRODIP HAZARIKA,MAMUN IMDADUL HAQUE CHAWDHURY,Mukhtar Ansari,Communist Party of India,K. Kanimozhi,Ajit Pawar,Ram Kripal Yadav,Sukhdev Singh Dhindsa,Rajendra Gavit,Farhan Azmi,Nara Brahmani,Mukul Roy,Nayani Narasimha Reddy,Chevireddy Bhaskar Reddy,,,,DIPENDU MAHATO,,,,,,RAJIV RANJAN SINGH ALIAS LALAN SINGH,BASANT KUMAR LONGA,,,,,KRISHNAMOORTHY A,,,,,,,,
Shashi Tharoor,Nirmala Sitharaman,Ashutosh,P. H. Manoj Pandian,Prafulla Samal,DUSHYANT CHAUTALA,,CHIRAG KUMAR PASWAN,ANUP PHUKON,ZAMEERUL HASAN,Danish Ali,S. Sudhakar Reddy,T. R. Balu,Supriya Sule,Jaiprakash Narayan Yadav,Naresh Gujral,Vinayak Raut,Ghanshyam Anuragi,Daggubati Purandeswari,Dinesh Trivedi,TRS,Kotamreddy Sridhar Reddy,,,,ASHWENG J. RENGMA,,,,,,Kaushlendra Kumar,BIRENDRA BHAGAT,,,,,"KRISHNAN, N.S.",,,,,,,,
Jyotiraditya Scindia,NaMo,Rakhi Birla,S. Semmalai,Surya Narayan Patro,JASWINDER SINGH SANDHU,,,HARI PRASAD DIHINGIA,ABDUS SADEK SARKAR,R.K. Chaudhary,K. Narayana,E. V. Velu,Praful Patel,Bhola Yadav,Bibi Jagir Kaur,Sunil Prabhu,Ghanshyam Yadav,Kala Venkata Rao,Kakoli Ghosh Dastidar,Jogu Ramanna,Buggana Rajendranath Reddy,,,,PROF. AMARESH PRASAD,,,,,,MAHABALI SINGH,GHURAN RAM,,,,,VIJAYKUMAR.AMG,,,,,,,,
Sachin Pilot,Smriti Irani,Dilip Pandey,P. Balaraman,Pratap Keshari Deb,PADAM SINGH,,,,ABDUL KHALEQUE,Dara Singh Chauhan,Annie Raja,K. Ponmudi,Chhagan Bhujbal,Alok Mehta,Manjinder Singh Sirsa,Milind Narvekar,Gopal Chaudhary,Yanamala Ramakrishnudu,Sougata Ray,Jupally Krishna Rao,Ambati Rambabu,,,,LAXMAN PASWAN,,,,,,CHANDESHWAR PRASAD,ARUN KUMAR MISHRA,,,,,JAYASANKAR.C.R,,,,,,,,
Ajay Yadav,Vasundhara Raje,Pankaj Gupta,Thambidurai,Snehangini Chhuria,SHAMSHER SINGH KHARKARA,,,,MD NAJRUL ISLAM,Raja Ram,Manik Sarkar,I. Periasamy,Jayant Patil,Abdul Bari Siddiqui,Ravneet Singh Bittu,Rahul Shewale,Gyanendra Kumar,Gali Muddu Krishnama Naidu,Shatabdi Roy,Padma Devender Reddy,Alla Ramakrishna Reddy,,,,BALESHWAR MARANDI,,,,,,Vijay Kumar,AJIT PRASAD MAHATA,,,,,D SIVAMUTHU KUMAR,,,,,,,,
Ghulam Nabi Azad,Shivraj Singh Chouhan,Bhagwant Mann,S. P. Velumani,Anubhav Mohanty,BAHADUR SINGH,,,,MD. NAJMUL HOQUE,Sunita Verma,Suneet Chopra,T. M. Anbarasan,Nawab Malik,Bhola Yadav,Parminder Singh Dhindsa,Pratap Sarnaik,Hariom Yadav,A. R. Reddy,Mimi Chakraborty,G. Jagadish Reddy,Anam Ramanarayana Reddy,,,,MD SHAMSHER ALAM,,,,,,Showkat Hussain Khan,SHIB SANKAR GHOSH,,,,,SIVANANENTHAPERUMAL.S.,,,,,,,,
